id,item_id,invoice_id,quantity,unit_price,created_at,updated_at
1,263407925,1,5,13635,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
2,263407971,1,9,23324,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
3,263408355,1,8,34873,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
4,263408401,1,3,2196,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
5,263408573,1,7,79140,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
6,263407925,1,5,52100,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
7,263408401,1,4,66747,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
8,263428293,2,6,76941,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
9,263428873,2,6,29973,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
10,263444163,2,4,1859,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
11,263400329,3,3,30949,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
12,263401045,3,8,31099,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
13,263401265,3,4,78660,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
14,263401483,3,7,4264,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
15,263503440,3,5,72018,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
16,263503786,3,9,72018,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
17,263505206,3,5,46383,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
18,263401265,3,5,78660,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
19,263444163,3,8,48718,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
20,263503786,3,9,72018,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
21,263453479,4,2,42203,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
22,263453997,4,3,37333,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
23,263454259,4,1,66412,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
24,263408355,5,10,49121,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
25,263401265,6,9,32346,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
26,263401265,6,10,73408,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
27,263401265,6,2,8342,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
28,263401265,6,3,48795,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
29,263401483,6,2,22098,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
30,263401483,6,6,18222,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
31,263401483,6,2,50369,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
32,263503786,6,1,25717,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
33,263503786,6,1,34423,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
34,263503786,6,4,59584,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
35,263401045,6,9,97851,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
36,263401045,6,9,54689,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
37,263401045,6,2,45518,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
38,263503440,6,2,50051,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
39,263503440,6,5,50051,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
40,263503440,6,2,35772,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
41,263400329,6,2,70783,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
42,263444163,7,8,35772,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
43,263445189,8,9,70783,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
44,263428873,9,7,70783,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
45,263536428,10,7,70783,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
46,263537168,11,10,6056,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
47,263537372,12,4,48582,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
48,263537990,12,5,29744,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
49,263559240,13,4,17154,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
50,263558510,13,6,54368,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
51,263557180,13,3,80725,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
52,263556762,13,4,98668,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
53,263455983,13,6,47367,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
54,263454935,13,7,62086,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
55,263454259,13,2,40187,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
56,263453997,13,2,78031,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
57,263453479,13,2,41702,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
58,263408573,14,6,71340,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
59,263408573,14,6,7196,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
60,263408401,14,3,41702,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
61,263408355,14,8,22546,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
62,263407971,14,4,6345,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
63,263445189,15,8,84928,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
64,263444163,15,10,84803,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
65,263444163,16,5,12098,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
66,263428873,17,2,3024,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
67,263428293,18,9,45253,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
68,263536428,19,4,67760,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
69,263537168,20,3,45253,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
70,263537372,21,1,55096,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
71,263537990,22,8,63465,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
72,263503786,23,3,2126,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
73,263401483,24,7,45518,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
74,263408355,25,6,91298,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
75,263408401,25,7,75637,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
76,263408573,25,7,74285,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
77,263407925,25,4,45339,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
78,263407925,25,1,89480,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
79,263407971,25,3,82413,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
80,263408355,25,1,93831,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
81,263408401,25,8,92302,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
82,263428293,26,8,89480,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
83,263428873,26,4,6056,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
84,263444163,26,6,85319,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
85,263445189,27,10,85319,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
86,263401045,28,6,85319,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
87,263401265,28,7,85319,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
88,263503786,29,2,88660,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
89,263401045,29,3,82821,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
90,263536428,30,5,46317,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
